geo:GPL11069	Agilent-012750 Human Genome CGH Microarray 44A (Probe name version)	3	172
geo:GPL2879	Agilent-013282 Human Genome CGH Microarray 44B (Feature number version)	3	173
geo:GPL11068	Agilent-013282 Human Genome CGH Microarray 44B (Probe name version)	3	174
geo:GPL11340	Agilent-014068 Homo sapiens 185K microarray	3	175
geo:GPL4544	Agilent-014584 Human Genome 244K CGH Microarray (Alpha Test)	3	176
geo:GPL4091	Agilent-014693 Human Genome CGH Microarray 244A (Feature number version)	3	177
geo:GPL9128	Agilent-014693 Human Genome CGH Microarray 244A (Probe name version)	3	178
geo:GPL4093	Agilent-014698 Human Genome CGH Microarray 105A (G4412A)	3	179
geo:GPL9075	Agilent-014698 Human Genome CGH Microarray 105A (G4412A) [Probe Name version]	3	180
geo:GPL5477	Agilent-014950 Human Genome CGH Microarray 4x44K (Feature Number version)	3	181
geo:GPL8841	Agilent-014950 Human Genome CGH Microarray 4x44K (Probe Name version)	3	182
geo:GPL5571	Agilent-015092 Whole Human Genome Microarray 4x44K	3	183
geo:GPL14791	Agilent-018519 Human Chromosome 17 Custom Tiling Array	3	184
geo:GPL8693	Agilent-019015 HD CGH Microarray (2X105K) Oxford design AMADID#019015 (Feature number version)	3	185
geo:GPL8736	Agilent-021529 Human CGH Whole Genome Microarray 1x1M (G4447A) (Feature Number version)	3	186
geo:GPL8737	Agilent-021529 Human CGH Whole Genome Microarray 1x1M (G4447A) (Probe Name version)	3	187
geo:GPL15068	Agilent-021825 3q7q_nov2008	3	188
geo:GPL9777	Agilent-021850 SurePrint G3 Human CGH Microarray (Feature Number version)	3	189
geo:GPL10152	Agilent-021924 SurePrint G3 Human CGH Microarray 8x60K (Feature Number version)	3	190
geo:GPL17052	Agilent-021924 SurePrint G3 Human CGH Microarray 8x60K (Probe Name version)	3	191
geo:GPL10123	Agilent-022060 SurePrint G3 Human CGH Microarray 4x180K (Feature Number version)	3	192
geo:GPL10150	Agilent-022060 SurePrint G3 Human CGH Microarray 4x180K (Probe Name version)	3	193
geo:GPL16694	Agilent-022522 SurePrint G3 CGH array 4X180K (Probe Name version)	3	194
geo:GPL16050	Agilent-023797 Lymphoma (Agilent Probe ID)	3	195
geo:GPL7314	CSHL Homo Sapiens 385k oligo array 1.0	3	196
geo:GPL7313	CSHL Homo Sapiens 85k oligo array 4.0	3	197
geo:GPL13519	Custom Agilent Human Chromosome 5q21 Tiling Array	3	198
geo:GPL6745	Eppendorf DualChip Human Cancer v1.1	3	199
geo:GPL13171	German Cancer Research Center human 33K BAC array	3	200
geo:GPL18586	Human 1 Mb - resolution CGH array	3	201
geo:GPL5737	Human 30K 60-mer oligo array	3	202
geo:GPL6984	Illumina Human1M-Duov3 DNA Analysis BeadChip (Human1M-Duov3_B)	3	203
geo:GPL6983	Illumina Human1Mv1 DNA Analysis BeadChip (Human1Mv1_C)	3	204
geo:GPL8887	Illumina Human610-Quad v1.0 BeadChip	3	205
arrayexpress:A-GEOD-8887	Illumina Human610-Quad v1.0 BeadChip	4	206
geo:GPL8888	Illumina Human660W-Quad v1.0 BeadChip	3	207
arrayexpress:A-GEOD-8888	Illumina Human660W-Quad v1.0 BeadChip	4	208
geo:GPL18636	Illumina Human660W-Quad v1.0 BeadChip (hg19)	3	209
geo:GPL6986	Illumina HumanCNV370-Duov1 DNA Analysis BeadChip (HumanCNV370v1)	3	210
arrayexpress:A-GEOD-6986	Illumina HumanCNV370-Duov1 DNA Analysis BeadChip (HumanCNV370v1)	4	211
geo:GPL6985	Illumina HumanCNV370-QuadV3 DNA Analysis BeadChip (HumanCNV370-QuadV3_C)	3	212
arrayexpress:A-GEOD-6985	Illumina HumanCNV370-QuadV3 DNA Analysis BeadChip (HumanCNV370-QuadV3_C)	4	213
geo:GPL6988	Illumina HumanExon510-Sv1 DNA Analysis BeadChip (HumanExon510Sv1_D)	3	214
